ingredient_id,name
734,Coconut pulp
735,Coconut puree
736,Yuzu juice
737,Organic elderberry powder
738,Zinc sulfate
739,Coconut nectar
740,Vinegar
741,Young coconut water
742,Cocoa powder
743,Mango juice
744,Whole milk
745,Cold brew coffee
746,Corn starch
747,Potassium carbonate
748,Monk fruit extract
749,Deuterium
750,Milk thistle seed extract
751,Guarana seed extract
752,Vitamin B3
753,Vitamin B5
754,Vitamin B6
755,Vitamin B12
756,Filtered carbonated water
757,Angelica root extract
758,Calcium citrate
759,Sodium metabisulfite
760,Coconut essence
761,Aloe vera
762,Sugarcane juice
763,Roasted coconut essence
764,Probiotic cultures
765,Organic coffee concentrate
766,Organic Arabica coffee
767,Organic roasted coffee
768,Sparkling filtered water
769,Organic invert cane syrup
770,Organic clarified acai juice
771,Organic passion fruit juice concentrate
772,Organic yerba mate extract
773,Organic pomegranate juice concentrate
774,Brewed guayusa
775,L-arginine
776,Artificial flavors
777,Vodka
779,Aspartame
800,Soybean Oil
801,Whey Protein Isolate
802,Soy Lecithin
803,Salt
804,Acesulfame Potassium (950)
805,Sucralose (955)
806,Hydrolysed Whey Protein Isolate
807,Sodium Chloride
